LR_Cluster;LR_Cluster2
ATL;ATL
CNT;CNT
cycDTL;DTL/aPT
DCT;DCT
DTL/aPT;DTL/aPT
EC;EC
EC;EC
EC;EC
FIB;FIB
IC;IC
IC;IC
Immune;Immune
vSMC/MC;vSMC/MC
Immune;Immune
PC;PC
DTL;DTL/aPT
PEC;PEC/POD
POD;PEC/POD
PT;PT
TAL;TAL
tPC-IC;PC
vSMC/MC;vSMC/MC
